aadtjegh	vastikään, vasta, juuri
sjilkehtidh	sulattaa
sjïere	erillinen, oma
sjïehtedh	sopia
sjiehteles	sopiva
sjiehtesjidh	sovittaa (paikalleen)
sjovne	kotiapulainen, piika
sjuevnjede	hämärä
sjuevneds	hämärä
sjædtoe	kasvi
sjædtoes	kasvillisuuden peittämä
sjæjsjalidh	ratkaista, päättää tehdä jotakin
sjöövedh	sekoittaa
sjåarhtoe	paita
sjåavoehtidh	hämmentää, sekoittaa
skaadtje	lurjus
skaahkanidh	säikähtää, pelästyä
skaarja	sakset
skaavhtege	laatikko
skarredh	soida
skeeledh	kuoria
skiblie	kalansuomu
skiehrie	poski(pää)
skïemtjebijle	ambulanssi
skïemtjebåara	paarit
skïemtjegåetie	sairaala
skïemtjes	sairas, kipeä
skïemtjesyjhtere	sairaanhoitaja
skïemtjesåjhtere	sairaanhoitaja
skïeredahke	rykimäaika, porojen kiimaaika
skïerke	kirkas, pilvetön
skilkedh	tuhota, turmella
skodtedh	kiiruhtaa
skoerhtje	(koiran)pentu
skovhte	kyyti
skovhtjedh	telmiä, huvitella, pitää hauskaa
skreepedh	raaputtaa irti
skreepestidh	raaputtaa irti (nopeasti)
skruvve	ruuvi
skuarhtjadidh	penikoida
skubpedh	harjata, pestä; hiertää
skubpehke	pyyhekumi
skugkie	varjo, hahmo, haamu, kummitus
skuvle	koulu
skuvledh	pestä, huuhtoa
skuvlehieme	asuntola
skuvlejaepie	kouluvuosi
skuvlemaana	koululainen
skuvtere	moottorikelkka
skovtere	moottorikelkka
skæhtjoe	puuvaja, liiteri
skåajje	metsä
skåake	metsä
skåaknge	nuori vaadin (t. hirvilehmä)
skoeknge	nuori vaadin (t. hirvilehmä)
skåape	kaappi
skåave	(pikku)kenkä
skåltoe	syy, vika
skålta	syy, vika
slaahpoe	poron selkäjänne
slaamedh	luhistua, romahtaa
slahkode	vinossa
slahtjan	rikki, epäkunnossa
slahtjegidh	hajota
slajpan	longollaan, lerpallaan; huolimattomasti pantuna
slapmoehgåetie	matala ja leveä kota
slavtjeguelie	vasta kutenut kala
sleagran	likainen
sleehpedh 	punoa suonilankaa poron selkäjänteestä
sleengkedh	heittää
sleevhkedh	heittää, paiskata pois
sliehtie	räntä
sliehtieelmie	räntäsade
slïekte	suku(lainen)
slienghkiehtidh	laskeutua (polvilleen), polvistua
slijredh	heittää (pois)
slïmhpe	haava, rakkula huulessa
slognestidh	valehdella
slubpie	tohveli
sluvke	viehe
slærra	reki
smaave	pieni
smaavegualetje	pikkukala
smalhtjaridh	mennä rikki
smeejvedh	paloitella (ruhoa)
smååhkedh	maistaa
smååhkestidh	maistaa vähäsen
snaabrestidh	kaluta, syödä vähäsen
snaejrie	viipale, kappale
sneehpebe 	nopeampi
sneehpes	nopea
snjaltje	heinäkuu
snjaltjh	karvattomat kengät
snjarhtja	juoksutusmaha; juoksute
snjeara	hiiri
snjåame	jänis
snuehtie	orastava heinä
snorre	pieni urosporo
snæhkere	puuseppä
snåvhtoe	sormainen, kerralla kammattava määrä kenkäheinää
snåvhroe	sormainen, kerralla kammattava määrä kenkäheinää
soehpenje	suopunki
soehpenjereagka	suopungin sarvikiela
soejmetje	hissukseen, pikku hiljaa, rauhallisesti
soejmetji	hissukseen, pikku hiljaa, rauhallisesti
soejmi	hissukseen, pikku hiljaa, rauhallisesti
soelmeh	(väli)ovi
soene	jänne; suonilanka
soerme	sormi
soermegåetie	sormustin
soeve	savu
soevestehted	savustaa
soevestidh	savustaa
soevine	likainen
sohkerelaejpie	(sokeri)kakku
sohpedh	kaapia, irrottaa lihaa luusta
sojjedh	taipua
sontere	vasten
soptsestidh	puhua, kertoa
sovhtine	vilustunut
sovkedh	soutaa
sovkijahtjedh	alkaa soutaa
sovkije	soutaja
sovmedh	olettaa, arvella, epäillä
spaajhte	nopeasti, reippaasti
spaarra	sinka, pingotusvarpa (tikku, jolla eläimen nahka t.
	kuivattava kala pingotetaan levälleen)
spaarretje	pieni sinka
spealadidh	soittaa
speedtjedh	hajoittaa 
speenedh	peittää (koipinahka) lastuilla (pingotusta varten)
speerredh 	levittää kuivumaan
spidtje	maatila, uudisasutus
spïjhke	naula
spæjhkere	naula
spijhkierdidh	naulata
staajne	maho vaadin, tainakka
staajnehke	maho vaadin, tainakka
staake	käytössä oleva, selvästi näkyvä (polku)
staaloe	staalo, peikko, jättiläinen
staaran	oikein
staare	kaupunki
stasjovne	asema
staasjovne	asema
staavra	vapa
steegkedh	sulkea
steeredh	pitää (kiinni, paikallaan)
steerestidh	ottaa, pitää kiinni
stïeres	valmis
stilledh	lähettää, käskeä, panna tekemään
stoere	iso
stoerre	iso
stoeregeajnoe	maantie
stoerregeajnoe	maantie
stoerevielle	isoveli
stoerrevielle	isoveli
stoereåabpa	isosisko
stoerreåabpa	isosisko
stompeldidh	kompuroida
stovle	tuoli
straavvedh	olla huolissaan, pelätä
stratjketje	pieni ruiske
strerkies	säikähtänyt
strerkiestidh	säikähtää, olla huolestunut
stroehte	jouluaatto
stroehtebiejjie	jouluaatto
struvkestidh	vetäistä, nykäistä
stuerebe	suurempi
stuhtje	pieni porotokka; palanen, kappale
stujmie	meteli, metakka
stuvredh	ohjata
stænkodh	vahvistua
stööredh	häiritä
stööves	rauhallinen
ståamhpe	kanto
ståapoe	talo, tupa
ståvroe	hallinto
stååkedidh	leikkiä
stååkedimmie	leikki
suaja	suojaisa; tuulensuoja
suajas	suojaisa; tuulensuoja
suehpede	toukokuu; vasontaaika
suehpedsdajve	vasomisseutu
suehpedslaante	vasomisalue
suejies	tuulensuojainen
suejnie	(kenkä)heinä
suejnietjuahpa	paikka, josta niitetään kenkäheinää
suelie	veren hera
suvvedh	kasvaa umpeen
svaale	naali
svaalnoe	viileä sää (auringonlaskun jälkeen)
svaaloe	viileä sää
sveehkestidh	kääntyä, poiketa syrjään, väistää; ohittaa
svïhtjedh	liikkua
svihtjedh	liikkua
svijrietjööse	poro, jolla on valkosia pilkkuja peräpäässä
svæjmadidh	pyörtyä
Svöörje	Ruotsi
sygkele	polkupyörä
syjhtedh	vahtia, hoitaa
syjhtere	(sairaan)hoitaja
sysngelasjh	(syötävät) sisälmykset
sægkodh	vetää (ylös, esim. kaloja; erilleen, esim. poroja teurastettavaksi)
sæjjoesdålle	avotuli
sæjlodh	väsyä, uupua
sæjloedidh	väsyttää
sæjloes	väsynyt
sæjrobpe	siirappi	
sæjra	siirappi	
sæjroe	kylki, sivu
sööjmes	hidas
sööjmeslaakan	hiljakseen
sööpedh	lakaista
såafoe	purolaakso
såajnodh	heinittää (kenkä)
såaketje	pieni koivu
såajmanidh	hidastaa vauhtia, kulkea hitaammin
såapoe	saippua
såara	(tuli)tikku
såarhta	musta poro
såarhte	laji
såårhte	laji
såekie	koivu
såemies	muutama, joku(nen)
såevmie	hieno kuiva laidun lumen alla
sån	han, hän; kai
såtnoeh	he kaksi (itse)
sååjhtedh	sattua (tekemään), tapahtua sattumalta
sååkesjidh	sahata
sååle	saari
såålhtedh	suolata
såålhtehke	suolattu, suolainen
såångedidh	kosia
såångedimmie	kosinta, kosio
såångedæjja	kosija
såårnedh	kertoa, ilmoittaa
sååvrehke	irtonainen ja karkea (lumi keväällä)
taavla	taulu
tabledth	tabletit
taxisijjie	taksikeskus
teatere	teatteri
teknigkere	teknikko
telefovnhnommere	puhelinnumero
tïjje	aika
tjaakanidh	mahtua
tjaaleldh	kirjallisesti
tjaangedh	astua, mennä sisään; pistää esiin
tjaangelidh	pujahtaa
tjaangestidh	pistäytyä
tjaatsetje	vähän vettä
tjaebpie	kaunis
tjaebpies	kaunis
tjaebpieslaakan	kauniisti
tjaeledh	kirjoittaa
tjaelemegærja	vihko
tjaetsie	vesi
tjagkeredeava	kuiva kovapohjainen kumpu
tjahkan	istuallaan, istumassa
tjahkasjidh	istua
tjahke	vuorenhuippu
tjahta	kilo(gramma)
tjaktje	syksy
tjaktjedaelvie	syystalvi
tjaktjegiesie	syyskesä
tjaktjeniestie	syysteuras
tjaktjeniestieh	syysteuras
tjarke	kovin, ponnekkaasti
tjarve	kantohanki
tjaste	karkea lumi, josta voi sulattaa vettä; jäätelö
tjeallere	kellari
tjeapohke	kaula
tjeapohkelijnie	kaulaliina
tjeara	(ilta)hämärä
tjearmehke	1 1/3 – 2 1/3 vuotias naarasporo
tjearodh	itkeä
tjeavla	kalvoin (verkonkudonnassa), verkon merkkikoho
tjeavlagierkie	verkon kives, paino
tjeavlarietjmie	verkon (ylä)paula
tjeehpes	musta
tjeehpeslaaketje	mustahko, mustanlainen
tjeekehtidh 	vetää, mahduttaa
tjengkere	pallo
tjeengkere	pallo
tjelmehts	sokea
tjelmie	silmä
tjetskehke	utelias, kiinnostunut
tjetskie	kärppä
tjevties	tiukkalihainen, tuore (kala)
tjidtj’aahka	äidin äiti, mummo
tjidj’aajja	äidin isä, vaari
tjidtjie	äiti
tjiehtjele	huone
tjiehtjere	varvas; pikkusormi, pikkuvarvas
tjïekedidh	piiloutua
tjïekerdidh	etsiä ruokaa lumen alta (poro)
tjïektjedh	potkia
tjïektjesjuelkie	takajalka
tjïelkestimmie	selitys
tjïelte	kunta
tjïeltekontovre	kunnantoimisto
tjiermie	munuainen
tjïeskedh	halkaista, halkoa (ydinluita)
tjietjelen	yksinään, omissa oloissaan
tjietsie	setä (isän pikkuveli)
tjietsuve	isoveljen lapsi (tjietsielle)
tjihkedidh	istuutua
tjihkiejovje	kokonaan valkoinen poro
tjihtedidh	tunkeutua sisään
tjïjhke	kiikari
tjïjhkerde	kiikari
tjïjhkestidh	kiikaroida
tjïjhtje	seitsemän
tjïjhtjede	seitsemäs
tjirkedh	vakuuttaa; uskaltaa
tjïrre	(puu)hiili
tjïrrh	läpi, kautta
tjoehpedh	leikata; hakata (kirveellä)
tjoehpestidh	leikata, hakata irti
tjoeje	ääni
tjoejenesguhpie	äänenvaimennin
tjoejhke	sääski
tjoejkedh	hiihtää
tjoejkegåetedh	alkaa hiihtää
tjoejkelidh	lähteä pois hiihtäen
tjoejkije	hiihtäjä
tjoejkijidh	lähteä hiihtämään
tjoekedh	latkia, lipoa
tjoele	saippua
tjoelme	solmu
tjoeme	kalannahka
tjoemehtidh	pyytää, rukoilla, vaatia
tjoeredh	täytyä
tjoermedh	rukoilla
tjoermehtasse	rukous
tjoeveridh	täytyä
tjoevkese	valo
tjoevtenje	avain
tjogneh	tavarat, kamppeet
tjohkeldhsuejnie	kammattu kenkäheinä
tjohpe	myssy, päähine
tjonne	lampi
tjonnetje	pieni lampi
tjorme	viime vuoden vasa
tjovke	poikanen
tjovrese	niska
tjovve	kurkku, nielu, ruokatorvi
tjuahpa	hakkuuaukio
tjuavkeds	valoisa
tjuedtjielidh	nousta ylös
tjuerpies	kömpelö
tjuetie stoerretjuetie	satatuhatta
tjuvliestidh	suudella
tjuvtjiedidh	osoittaa (sormella)
tjuvviestidh	sataa sisään räppänäaukosta
tjyöresthtjelmieh	itkusilmät
tjöödtjhsijjie	maali
tjöödtjehtidh	seisahtua
tjöödtjestidh	seisahtaa
tjööjjeste	pahoinvointinen
tjööke	keittiö
tjöönghkedh	kerätä, koota
tjöönghkesovvedh	tulla kerätyksi
tjöönghkestalledh	keräillä
tjööse	vaaleanharmaa poro, jolla on vaalea läiskä päässä
tjöösenjuenie	valkoturpainen poro
tjåadtjodh	seistä; olla kirjoitettuna
tjåadtjoestidh	seistä vähän aikaa
tjåagkoe	haarukka
tjåalodh	suolistaa, perata
tjåanghkan	yhteen, kokoon
tjåanghkoe	kokous	
tjåarvodh	huutaa
tjåegkedh	kerätä, koota; napata, siepata
tjåejjie	vatsa
tjåejjiennuelie	vatsanalus
tjåelieh	suolet, sisälmykset, perkeet
tjåenghkies	koossa, koottu(na)
tjåentjeme	poron takajalan ylempi ydinluu
tjåenhtjeme	poron takajalan ylempi ydinluu
tjåenieh	matkatavarat
tjåervie	sarvi
tjåerviesaelhtie	hirvensarvisuola
tjåetskeme	pakkanen
tjåhkeme	kampa, häkilä (kenkäheinän käsittelyä varten)
tjåhkodh	kammata kenkäheinää
tjåktja	metso
tjååhpedidh	mustua
traktovre	traktori	
traaktovre	traktori	
treavka	suksi
treavkagaahtjeme	hiihtokilpailu(t)
treblienjuenie	harmaa poro, jolla on pieniä valkoisia pilkkuja turvassa
trïengke	renki
trimhkeldahkesne	sirrillään
truhkie	puuvati, kaukalo
træjpoe	huono (tuulinen, sateinen) sää
tråahpoe	porras, portaat
tråahpa	porras, portaat
tråajjoe	takki, neule, pusero
tråajja	takki, neule, pusero
tråamhpoeh	nykerö
tråjjadidh	viihtyä
tråjjes	viihtyisä
tröjjes	viihtyisä
tryjjes	viihtyisä
tsaapedh	leikata, silputa, pieniä
tsaapestahke	suikaleliha (kahvin kanssa syötävä)
tsaapestidh	leikata palasiksi
tsaekedh	pistää, työntää sisälle, vetää päälleen, ajaa poroja aitaan
tsaekiehtidh	työntää sisään
tsagkedh	levittää; estää, pidätellä; pistää, panna sisälle
tsavnoe	naisen sukuelin
tseagkoehgåetie	pystykota
tsebpie	poron etujalan alempi ydinluu
tseegkedh	rakentaa, pystyttää, panna pystyyn, panna tulelle
tsegkie	haarapäinen (kotakorvan) tukipuu; naulakon naula
tsïnne	naisen sukuelin (karkeampi sana kuin tsavnoe)
tsoedtse	kalvo
tsoevtse	tunturijäätikkö (kesällä)
tsumhtsie	roska, pöly
tsööpkedh	murtaa, taittaa
tsåahka	kello
tsåaptsele	paikallaan pysyvä
tsåhha	rakki, hurtta
tsååbpe	sammakko
tuhtjedh	arvella, olla mieltä
tuvriste	turisti
turriste	turisti
tyjje	kangas
tæjmoe	tunti
tåaleskaahpoe	ompelurasia
uktsie	yhdeksän
unnebe	pienempi
unnemes	pienin
unniedidh	pienentää
urriesmiesie	hirvasvasa
ussjedidh	ajatella, aikoa
utnedh	omistaa, käyttää
uvte	eteen
vaadtsajidh	lähteä kävelemään, lähteä pois
vaadtsehtjidh	kävellä, jaloitella, kuljeskella
vaajeshgærja	tarinakirja
vaajhkoen	ainoa, vähäinen
vaajmoe	sydän
vaajtelidh	toivoa
vaaksjodh	vartioida, tarkastaa, kokea
vaaksjoehtæjja	porovahti
vaalje	aukio, aukea paikka
vaalmestahke	selässä oleva (vaate)nyytti
vaane	tottunut
vaanhtse	lapanen
vaarjoeh	vaatteet
vaarjoevåarhkoe	vaatekaappi
vaaroe	kauppatavara
vaaroeh	kauppatavarat
vaaroehtidh	varoittaa, kehottaa
vaarredh	kulkea, juosta (ihminen)
vaarrestidh	juosta nopeasti, kipaista
vaasedh	ohittaa; kulua (aika)
vadtes	lahja
vadtese	lahja
vaedtsedh	kävellä, kulkea; käydä (koulua)
vaegkie	laakso
vaejvie	vaiva, huoli, kipu
vaejsjie	peto, susi, metsäneläin
vaejlie	kuume
vaeknie	ammukset
vaeknieh	ammukset
vaeltedh	ottaa
vaeltjehke	kokenut poromies
vaenemes	vähintään
vaenie	vähän
vaenies	vähän
vaerhpiedidh	apajoida, heittää nuottaa
vaerie	tunturi, vuori(sto)
vaesedh	ohittaa; kulua (aika)
vaestiedidh	vastata
vahka	viikko
våhkoe	viikko
valkesidh	lähteä (vähitellen) liikkeelle (poroelo)
van	han, hän
varki	pian, nopeasti; heti; varhain
varke	pian, nopeasti; heti; varhain
varres	tuore
veadta	puun juuri
veahketje	vähän apua
veaksahkåbpoe	vahvempi
veaksehke	vahva
vealasjidh	maata, olla makuulla, nojata
vealasjimmie	makailu
vealma	syvä suvantopaikka
vearadidh	olla, käydä (kylässä, vieraisilla)
vearelde	sää, ilma; maailma
veaskoe	laukku
veasodh	elää, asua
veasome	elämä, asuminen
vedtedh	antaa
veelestidh	paneutua makuulle (nopeasti)
veeljedh	valita
veelkes	valkoinen
veelle	piha, aukio
veerremes	pahin
veetejaavvoeh	vehnäjauhot
velkiehtidh	lähteä liikkeelle (poroelo)
vervesne	terve, hyväkuntoinen
vestie	paha, huono, ruma
vesties	paha, huono, ruma
viedtedh	sitoa kiinni; panna liekaan
vïedtje	seinä
vïedtjedh	noutaa, hakea
veedtjedh	noutaa, hakea
viehkie	apu, apulainen
viehkiedööpmedæjja	aputuomari, lautamies
viehkiehtidh	auttaa
viehkiehtæjja	apulainen, työntekijä
vielie	vielä, enää, enemmän
vïelle	veli
vïenhtedh	arvella, ajatella, uskoa	
vïere	kenkäheinäkerä, viera
vïeredh	veistää kirveellä
vierhkiedidh	kovertaa
vierhkiesijjie	verstas
viermie	verkko
vïernge	joenrinteen yläreuna; merenpohjarinne
vearnga	joenrinteen yläreuna; merenpohjarinne
vïerngebielie	merenpohjarinteen puoli
vïerngeraedtie	merenpohjarinteen reuna
viertedh	kaataa (puita)
vietjere	vasara
vietseles	ystävällinen
vievtjedidh	kääntyillä, pyöriskellä (kyljeltä toiselle)
vievtjije	sätkyttelevä
vigkie	riita
vihkeles	tärkeä
vihth	taas
vihth masten	vaihteen vuoksi
vihtie	tietty, tunnettu, varma
vihties	tietty, tunnettu, varma
vïjhte	viisi
vïjhtede	viides
vijhtsierdidh	visertää
vïjjedh	leikata kangasta
vïjlelidh	vilkaista
vijne	viini; viina
vijredh	metsästää
vïjredh	metsästää
vïlledidh	kurkottaa
vïnhtse	vene
viskes	keltainen
vissjedh	viitsiä, jaksaa
vissjehtovvedh	kyllästyä
vissjeles	ahkera, viitseliäs
vitnedh	voittaa, saavuttaa, ehtiä
voedtege	(kengän)nauha	
voeje	voi
voejedidh	uiskennella
voejelidh	lähteä uimaan
voejeskaahpoe	voirasia
voejhkelidh	yrittää (tehdä); käydä kiinni
voejkene	henki
voejngese	hengitys
voeksedidh	oksentaa
voektenje	vave, verkonkuivatusteline
voeledh	vuolla
voelpetje	(pikku)ystävä
voene	kylä, kiinteä asutus
voepte	hius
voeres	vanha; vanhus
voerese	vanha; vanhus
voeresgåetie	vanhainkoti
voerpehke	aamunvirkku
voesse	säkki, laukku, reppu
voessetje	pieni pussi, pieni säkki
voessjedh	keittää
voessjehtjidh	keitellä	
voessjemelihtie	keittoastia
voestegh	ensin
voestes	ensimmäinen
vuajajidh	lähteä ajamaan
vualadahke	alanko
vuartasjidh	katsoa
vuasta	juusto
vuebnie	uuni
vuejedh	ajaa
vuejeme	poikkipuu (kotakorvia yhdistävä orsi)
vuejemeleahpa	ajokortti
vuejije	ajaja, (auton)kuljettaja 
vuejnedh	nähdä
vuekie	tapa
vuelelen	alla, alapuolella
vuelkedh	lähteä
vuelnie	alhaalla, alla
vuemie	suuri metsää kasvava laakso, vuoma
vuenjele	2 1/3 – 3 1/3 vuotias naarasporo
voenjele	2 1/3 – 3 1/3 vuotias naarasporo
vueperes	2 1/3 – 3 1/3 vuotias urosporo
vuertedh	odottaa	
vueptiestidh	huomata, havaita
vuertiestidh	odottaa vähän
vuesiehtidh	osoittaa, näyttää
vuesiehtimmie	esitys, näyttely
vuetjedh	ampua
vyskedidh	kellastua
vyskehke	keltainen
vytnesjidh	askarrella, tehdä käsityötä
vytnesjimmie	käsityö, askartelu
vyöhkesidh	auttaa toisiaan
væjjoe	(leikkuu)kaava, malli
væjkele	taitava, kelpo
væjkeles	taitava, kelpo
værtoe	myrsky
vætnoe	(käsi)työ, askartelu
vöölemes	alin
vöölle	kovin, valtavan
vöörhkelidh	piilottaa (nopeasti)
vööste	vastaan
våarhkoe	säilytyspaikka, kätkö; kaappi
våaroes	varovainen, arka, valpas
våhkoe	viikko
vååjnedh	näkyä
vååjnoes	nähtävä(sti)
våålese	alas
vååltestahke	mäki jolta on hyvä näkyvyys
våårenjasse	susi, peto
övtebe	edellinen, viime
ööhpehtimmie	opetus, koulutus
ööjeldihks	unohtavainen, hajamielinen
öörnedh	järjestää; varoittaa; valmistaa
öövre	aivan, kokonaan
åabpa	sisar
åadtjestidh	heittää, ottaa kiinni suopungilla
åadtjodh	saada
åahpenadtedh	tutustua (useisiin)
åahpenidh	tutustua
åahpetje	tuttava
åajaldehtedh	unohtaa
åajsodh	jaksaa, kyetä
åajvoe	oiva(llinen)
åajvoeh	oiva(llinen)
åaksesjidh	karsia oksat
åaksetje	pikku oksa
åanehksguapa	nilkkasukka, lyhyt sukka
åarajidh	mennä nukkumaan
åarjelsaemie	eteläsaame(lainen)
åarjelvearelde	etelätuuli
åavroe	helle, kuuma sää
åavroes	kuuma, helteinen
åebrelen	syrjään; ylitse, enemmän kuin tarpeen
åehpies	tuttu
åejjie	pää
åejjieh saejriedieh	päätä särkee
åejjienalhke	tyyny
åajjienååleh	tyyny
åejvie	päällikkö, johtaja
åeksie	oksa
åelkie	olka(pää)
åelkies	oikea(npuoleinen)
åelkiesbielie	oikea puoli
åenehks	lyhyt
åeredh	nukkua	
åeremetjiehtjele	makuuhuone
åeremevaarjoeh	vuodevaatteet
åeremevoesse	makuupussi
åerie	verisuoni
åerpenh	sisarukset
åerpienadtjh	sisarukset
åesiestidh	käydä kauppaa; tehdä ostoksia
åesiestæjja	kauppias
åesie	osa, osuus (ruoasta); teurasporo
åesiesmaennie	kauppias
åesiesålma	kauppias
åestedh	ostaa
åhtjetje	vähäsen
åktsede	yhdeksäs
ålkene	ulkona
ålkone	ulkona
ålkoelisnie	ulkopuolella
ålloe	villa
ålloeabpese	villapaita, villapusero
ålloetråajja	villapaita, pusero
ålma	mies
ålmavoelpetje	miesystävä
ålvas	kamala, kauhea; kovin
ålvoes	kamala, kauhea; kovin
alvas	kamala, kauhea; kovin
ånnetji	vähäsen
ånnetje	vähäsen
årra	hirvas
årrodh	olla; asua
årroeminie	asumassa
åvtebarkoe	esityö, valmistautuminen
åvtegietjie	etupää
åvtehke	johtaja, esimies
åvtelen	eteen; ennen; vaille
åvtemennie	poron sarven etuhaara
åvtesjuelkie	etujalka
åvteste	edestä
åvteåejvie	johtaja
åvtelisnie	edellä; kauempana edessä
åvtine	edeltä, ensinnä
åålijes	mehukas, maukas (lihasta)
ååredæjja	kasvot
åårkeniste	urkuri
